normal sentence,aggressive sentence
sao con nói zị,Mày tin tao đấm mày không
Bạn đẹp trai quá,Mất dạy hả con mẹ mày
gia đình bạn thế nào,đỉ mẹ nó
mẹ biết mẹ buồn đó,Mày biết bố mày là ai không
bạn tên gì,cc
bạn khỏe không,Ngu như chó
bạn cho tớ xin info,ê mỏ hỗn
Bạn thật vui tính,vl
Lương tháng này ít quá,Thằng mọi đen
App làm đơ lag không dùng được,fuck you
Sản phẩm không như mô tả,ngon nhào dzo
Nhân viên quán phục vụ kém,đấm chết mẹ mày giờ
ủa rồi normal chưaaa,DCMM
Đồ ăn có ruồi,Da đen là nô lệ của xã hội
Quán có nhân viên nữ không ạ,mỏ hỗn
Bên mình có cho ngủ lại quán không ?,Cái quần què
ngừng trì hoãn và bắt đầu làm,quầy quầy quay quay la lá là là la la
chào bạn bạn tên gì,Chô tồ mát tề
đừng có buồn,Ra ngoài hộ bố mày
Phim hay lúc đầu lúc sau rất cảm động,Sa zô na ra
"xinh đẹp, tuyệt vời, 10 điểm",Cút
Học trực tuyến với trợ giảng sẵn sàng,Ngậm con mẹ mồm mày vào
đóng gói sản phẩm tốt,Ngu
đồ ăn ngon quá,mày đừng làm wibu nữa
món gì ngon thía,Young Cha
"  Chào bạn, chúc bạn buổi sáng vui vẻ","Đừng đăng ảnh nữa, tôi bỏ theo dõi đấy"
Chúc 1 ngày tốt lành,Ngừng ẳng ngu nữa
Cố lên bạn ơi!,Chó đẻ
Xin chào. Tiền mình khi nào bạn trả,Baka
Năm mới nợ mới,Bitch
Ơ mây zing gút chóp em,sẽ gầy
họ mà quay lưng coi như vức,ngu như chó
Ô dề,clm
Ét ô ét,Bạn bị VNPT à?
bé mèo dễ thương,tôi có ông anh sinh năm 96 học IT
oniichan,fan MU lại vào hang rồi 
chó phú quốc 2 tuổi,Khoa X
cho tớ xin 10 củ,si nê
anh hỏng thương bé,Tiểu lị lụ mũ
maoww,Trần đức bo
meoww,mấy thằng não phẳng này
i love yeuu,đcm
giáng sinh vui vẻ,cồ nô da rô
falling in love,làm một điếu không
are you kidding me?,son of bitch
độc lạ bình dương,7 chọ hôi pen vấp cỏ
Ăn nói xà lơ,fan MU muôn năm
học sâu còn dễ hơn,Chưa uống thuốc à ?
nextfix and chill,đúng nhận sai cãi
Đạo đức xã hội ở đâu?,Fan Đạt Villa à ?
Chúc mừng năm mới,xin link
học máy rất dễ,Linh 14
quầy quầy quây quây,trung bình phụ huynh châu Á
sao mới gặp lần đầu mà đầu mình quay quay,Lũ hậu
too ezzzzzzzzzzzzzzz,"Dù em ngon ngọt như là sicula, nhưng lại đáng sợ hơn cả Cô rô na"
Sơn Tùng,jack
hello bro,dmm
Tỏ tình với crush,người gì như con cac
"phép thuật winx, enchantic",Thoi dai moi da den
anh Long đẹp trai số 1 VN,Ăn nói xà lơ
học phải đi đôi với hành,wibu ngu
Có chắc yêu là đây,súc vật
buổi phỏng vấn rất hay,Ri đỗ
Mèo méo meo mèo meoooo,MNSD
Thương ems,Đáy xã hội
Không có chi,dáng đại gia và tao dạng ra đái
cháu ngoan Bác Hồ,Râu con
so cute!,cam 10 tú
bạn giỏi quá,Si tạ
Cuốn quá !!!,cơm thu
Thật là xinh đẹp,cu li
"Hình ảnh tuy mờ, nhưng là mờ lem mờ lem",đá như MU
"Đừng khóc nha, hãy nín đi",cao in sum
chào em nha,chào cc gì mà chào quen không mà chào
good,cai in sum
em ăn cơm chưa,sao sao sao
Hoàng đẹp trai quá,đạt không chín
chào anh em là em là em gái miền tây,cá chà bặc
thợ sửa ống nước,lá chà bốn
Lắp đặt mạng máy tính,Mạng 4 chữ
Nhất bạn rồi!,VNPT
Vui quá đi,Thua thì nín
hữu duyên hữu tình,Phấn đào
em ăn cơm chưa,loại rác rưởi như mày thì nằm dưới đáy xã hội bú đít cho người ta thôi!
hôm nay bạn ổn chứ?,Weboo
bạn chó dễ thưng quá,con chó này
nam mô dị đa bà tì ,Đi bộ vuốt râu 
tôi xin lỗi,bò tuôi
học tập và làm theo tấm gương đạo đức của chủ tịch,bò nhuổi
"Là sao vậy, sao lúc đầu hong nói vậy đó nói được thì làm được đi chứ",Mồm điêu
hoàn hoàn nhất liễu sở cung yêu là khuê danh của thần thiếp,ở đây nhiều máu này
Thật vô nghĩa,djt djt djt djt clmm
Nếu biết kết cục như vậy thì đã không tranh đấu làm gì,m điên à
Iphone quá xịn,Đầu buồi rẻ rách
cô y tá chơi đá,ddm
Thua đi cưng,uong mieng matcha cho no mat me
"Kết quả như vậy rồi, phục hong phục nữa thì thôi","Không có đủ đẳng cấp, không có đủ level thì đừng đấu với chị"
Xin nhường đi trước. Tôi xin đi sau. ,hỏny
Cám ơn đã nhường đường. ,tuy em tốt nhưng em ngu vl
Tôi biết mình có thể trông cậy vào bạn mà.,em bị VNPT à
Thật là nhẹ nhõm.,nước đổ đầu vịt
tháng tư là lời nói dối của em,nói chuyện nghe mắc ỉa quá
Dạo này ra sao rồi?,Yall noob
Bạn đang lo lắng gì vậy?,mừng cho em nó
Dạo này đang làm gì?,Hưng nào cũng nốm
tháng mấy anh nhớ em,Cúp bế châu Á
yes sure chắc chắn là như vậy rồi,Bách ngu
chong chóng tre nè nobita,Miss 43 tín chỉ
sao anh nặng lời vậy,mày đừng có mà mồm điêu
Làm sao mà biết được.,https://ditmewibu.com/
"Anh cứ yên tâm lên đường nhập ngũ, em sẽ chờ",Chờ ê chê
Có rảnh không?,môn xử lý ngôn ngữ tự nhiên như shit
Chào cậu,mày bị điên à!
Xin thỉnh an hoàng hậu nương nương,Miss hô
chong chóng tre nè nobita,chó ngu
Đội bóng xuất sắc nhất London,Pháo đần
Anh bảy là nhất,Rô đĩ
T1 vô địch ,cung khủ
Nín đi em,Tê liệt
Có gì mà khóc,dâm tiện bất năng di
Sống và làm việc theo đường lối của đảng và nhà nước,Trốn nghĩa vụ quân sự
Đảng cộng sản Việt Nam muôn năm,Ngu thì chết
là do em xui thôi,do mày ngu
Tôi ăn cơm với lòng xào dưa,đê tiện
Biết ông thương không. Ông Thương nào...,"cấu kết với gian thương ngoại đạo, đẩy bà già xuống biển, cưỡng dâm một con heo"
Xin nhường đi trước. Tôi xin đi sau. ,ngu học 
Thật là nhẹ nhõm.,3 que ngu học
anh cũng không biết,đánh chết cha mày h
Mãi keo,Miss xém cử nhân 
Tôi biết mình có thể trông cậy vào bạn mà.,VNPT dùng tốt mà anh em?
"Ngộ ngĩnh, dễ thương quá!",bùng khủ
Messiiiiiiiii,"Siuuuuuuuuuuu
"
Xa Thi Mạn trong vai Nhàn Phi,"Que mira, bobo"
Như trên,ngu vãi cặc
Phan ung cua tao,Miss 3 quốc tịch
Khi nào dẫn người yêu về,
Mừng tết đến vạn lộc đến nhà nhà ố nồ,bướng sú
Nhà bà nữ,đượng sú
Sao con nói dị,Sướng không em
Biết cái nơi gì mà,Súc vật
Bắt chước ai vậy con?,Ở đâu mà dâm đản dâm ơ vậy?
Cho mình order 1 ly capuchino không đường,địt con mẹ bắc kỳ
The masked singer,xàm lồn
Alice in borderland,Emily in Paris
"Sắc dục là xiềng xích của đời này, chúng ta say đắm, không thể tự cứu. 

Sắc dục là bệnh nặng nhất của đời này, chúng ta khốn khổ, đến chết chẳng khỏi. 

Sắc dục là tai họa của đời này, chúng ta gặp phải, lâm nguy khó tránh.

Nữ sắc suy cho cùng cũng chỉ là da với thịt, máu mủ tanh hôi. Cái bẫy luân hồi đau khổ vô lượng kiếp, sa chân vào lục dục biết bao giờ mới thoát khỏi? Đừng vì thế mà sinh lòng lưu luyến","Hoa rơi cửa phật, một quật 500"
telegram,twitter
Tự mình làm thì tự mình chịu đi!,đậu thật lu
Bình tĩnh mọi người ơi,Dị hả
Nghe vui nhỉ,Tao cười sáng đêm tao khỏi ngủ
Đủ rồi đó! ,thèm bú l quá
Vui mà,sao mà hay ra vẻ quá
ét ô ét,địt mẹ thí chủ đéo chửi thề
Được rồi nha,Còn một tiếng nửa tao lấy gạch tao phan chết con gái mẹ mày
,mọi người đừng chửi nữa 
,hãy nghĩ tới hậu quả 